date,home_team_name,away_team_name,home_score,away_score
2002-06-07,Spain,Paraguay,3,1
2002-06-07,Sweden,Nigeria,2,1
2002-06-07,Argentina,England,0,1
2002-06-06,Cameroon,Saudi Arabia,1,0
2002-06-06,Denmark,Senegal,1,1
2002-06-06,France,Uruguay,0,0
2002-06-05,Germany,Republic of Ireland,1,1
2002-06-05,United States,Portugal,3,2
2002-06-05,Russia,Tunisia,2,0
2002-06-04,China,Costa Rica,0,2
2002-06-04,South Korea,Poland,2,0
2002-06-04,Japan,Belgium,2,2
2002-06-03,Italy,Ecuador,2,0
2002-06-03,Brazil,Turkey,2,1
2002-06-03,Croatia,Mexico,0,1
2002-06-02,England,Sweden,1,1
2002-06-02,Paraguay,South Africa,2,2
2002-06-02,Argentina,Nigeria,1,0
2002-06-02,Spain,Slovenia,3,1
2002-06-01,Republic of Ireland,Cameroon,1,1
2002-06-01,Uruguay,Denmark,1,2
2002-06-01,Germany,Saudi Arabia,8,0
2002-05-31,France,Senegal,0,1
1999-07-10,United States,China,0,0
1999-07-10,Brazil,Norway,0,0
1999-07-04,Norway,China,0,5
1999-07-04,United States,Brazil,2,0
1999-07-01,Brazil,Nigeria,4,3
1999-07-01,United States,Germany,3,2
1999-06-30,Norway,Sweden,3,1
1999-06-30,China,Russia,2,0
1999-06-27,United States,North Korea,3,0
1999-06-27,Mexico,Italy,0,2
1999-06-27,Nigeria,Denmark,2,0
1999-06-27,Germany,Brazil,3,3
1999-06-26,Canada,Russia,1,4
1999-06-26,China,Australia,3,1
1999-06-26,Ghana,Sweden,0,2
1999-06-26,Norway,Japan,4,0
1999-06-24,Germany,Mexico,6,0
1999-06-24,United States,Nigeria,7,1
1999-06-24,North Korea,Denmark,3,1
1999-06-24,Brazil,Italy,2,0
1999-06-23,China,Ghana,7,0
1999-06-23,Australia,Sweden,1,3
1999-06-23,Norway,Canada,7,1
1999-06-23,Japan,Russia,0,5
1999-06-20,Australia,Ghana,1,1
1999-06-20,North Korea,Nigeria,1,2
1999-06-20,Norway,Russia,2,1
1999-06-20,Germany,Italy,1,1
1999-06-19,Brazil,Mexico,7,1
1999-06-19,China,Sweden,2,1
1999-06-19,United States,Denmark,3,0
1999-06-19,Japan,Canada,1,1
1998-07-12,Brazil,France,0,3
1998-07-11,Netherlands,Croatia,1,2
1998-07-08,France,Croatia,2,1
1998-07-07,Brazil,Netherlands,1,1
1998-07-04,Germany,Croatia,0,3
1998-07-04,Netherlands,Argentina,2,1
1998-07-03,Brazil,Denmark,3,2
1998-07-03,Italy,France,0,0
1998-06-30,Argentina,England,2,2
1998-06-30,Romania,Croatia,0,1
1998-06-29,Netherlands,Yugoslavia,2,1
1998-06-29,Germany,Mexico,2,1
1998-06-28,Nigeria,Denmark,1,4
1998-06-28,France,Paraguay,1,0
1998-06-27,Brazil,Chile,4,1
1998-06-27,Italy,Norway,1,0
1998-06-26,Japan,Jamaica,1,2
1998-06-26,Argentina,Croatia,1,0
1998-06-26,Romania,Tunisia,1,1
1998-06-26,Colombia,England,0,2
1998-06-25,United States,Yugoslavia,0,1
1998-06-25,Germany,Iran,2,0
1998-06-25,Netherlands,Mexico,2,2
1998-06-25,Belgium,South Korea,1,1
1998-06-24,Nigeria,Paraguay,1,3
1998-06-24,France,Denmark,2,1
1998-06-24,South Africa,Saudi Arabia,2,2
1998-06-24,Spain,Bulgaria,6,1
1998-06-23,Scotland,Morocco,0,3
1998-06-23,Brazil,Norway,1,2
1998-06-23,Italy,Austria,2,1
1998-06-23,Chile,Cameroon,1,1
1998-06-22,Romania,England,2,1
1998-06-22,Colombia,Tunisia,1,0
1998-06-21,Germany,Yugoslavia,2,2
1998-06-21,Argentina,Jamaica,5,0
1998-06-21,United States,Iran,1,2
1998-06-20,Netherlands,South Korea,5,0
1998-06-20,Belgium,Mexico,2,2
1998-06-20,Japan,Croatia,0,1
1998-06-19,Spain,Paraguay,0,0
1998-06-19,Nigeria,Bulgaria,1,0
1998-06-18,France,Saudi Arabia,4,0
1998-06-18,South Africa,Denmark,1,1
1998-06-17,Italy,Cameroon,3,0
1998-06-17,Chile,Austria,1,1
1998-06-16,Scotland,Norway,1,1
1998-06-16,Brazil,Morocco,3,0
1998-06-15,Germany,United States,2,0
1998-06-15,Romania,Colombia,1,0
1998-06-15,England,Tunisia,2,0
1998-06-14,Jamaica,Croatia,1,3
1998-06-14,Yugoslavia,Iran,1,0
1998-06-14,Argentina,Japan,1,0
1998-06-13,Spain,Nigeria,2,3
1998-06-13,South Korea,Mexico,1,3
1998-06-13,Netherlands,Belgium,0,0
1998-06-12,France,South Africa,3,0
1998-06-12,Saudi Arabia,Denmark,0,1
1998-06-12,Paraguay,Bulgaria,0,0
1998-06-11,Cameroon,Austria,1,1
1998-06-11,Italy,Chile,2,2
1998-06-10,Morocco,Norway,2,2
1998-06-10,Brazil,Scotland,2,1
1995-06-18,Germany,Norway,0,2
1995-06-17,China,United States,0,2
