date,home_team_name,away_team_name,home_score,away_score
2018-06-21,France,Peru,1,0
2018-06-21,Denmark,Australia,1,1
2018-06-20,Iran,Spain,0,1
2018-06-20,Uruguay,Saudi Arabia,1,0
2018-06-20,Portugal,Morocco,1,0
2018-06-19,Poland,Senegal,1,2
2018-06-19,Colombia,Japan,1,2
2018-06-19,Russia,Egypt,3,1
2018-06-18,Tunisia,England,1,2
2018-06-18,Belgium,Panama,3,0
2018-06-18,Sweden,South Korea,1,0
2018-06-17,Brazil,Switzerland,1,1
2018-06-17,Germany,Mexico,0,1
2018-06-17,Costa Rica,Serbia,0,1
2018-06-16,Argentina,Iceland,1,1
2018-06-16,France,Australia,2,1
2018-06-16,Peru,Denmark,0,1
2018-06-16,Croatia,Nigeria,2,0
2018-06-15,Portugal,Spain,3,3
2018-06-15,Morocco,Iran,0,1
2018-06-15,Egypt,Uruguay,0,1
2018-06-14,Russia,Saudi Arabia,5,0
2015-07-05,United States,Japan,5,2
2015-07-04,Germany,England,0,1
2015-07-01,Japan,England,2,1
2015-06-30,United States,Germany,2,0
2015-06-27,England,Canada,2,1
2015-06-27,Australia,Japan,0,1
2015-06-26,China,United States,0,1
2015-06-26,Germany,France,1,1
2015-06-23,Japan,Netherlands,2,1
2015-06-22,United States,Colombia,2,0
2015-06-22,Norway,England,1,2
2015-06-21,Brazil,Australia,0,1
2015-06-21,France,South Korea,3,0
2015-06-21,Canada,Switzerland,1,0
2015-06-20,China,Cameroon,1,0
2015-06-20,Germany,Sweden,4,1
2015-06-17,Costa Rica,Brazil,0,1
2015-06-17,South Korea,Spain,2,1
2015-06-17,Mexico,France,0,5
2015-06-17,England,Colombia,2,1
2015-06-16,Australia,Sweden,1,1
2015-06-16,Nigeria,United States,0,1
2015-06-16,Ecuador,Japan,0,1
2015-06-16,Switzerland,Cameroon,1,2
2015-06-15,Thailand,Germany,0,4
2015-06-15,Netherlands,Canada,1,1
2015-06-15,China,New Zealand,2,2
2015-06-15,Ivory Coast,Norway,1,3
2015-06-13,Brazil,Spain,1,0
2015-06-13,France,Colombia,0,2
2015-06-13,England,Mexico,2,1
2015-06-13,South Korea,Costa Rica,2,2
2015-06-12,United States,Sweden,0,0
2015-06-12,Japan,Cameroon,2,1
2015-06-12,Australia,Nigeria,2,0
2015-06-12,Switzerland,Ecuador,10,1
2015-06-11,Germany,Norway,1,1
2015-06-11,Ivory Coast,Thailand,2,3
2015-06-11,Canada,New Zealand,0,0
2015-06-11,China,Netherlands,1,0
2015-06-09,Brazil,South Korea,2,0
2015-06-09,Colombia,Mexico,1,1
2015-06-09,Spain,Costa Rica,1,1
2015-06-09,France,England,1,0
2015-06-08,United States,Australia,3,1
2015-06-08,Sweden,Nigeria,3,3
2015-06-08,Japan,Switzerland,1,0
2015-06-08,Cameroon,Ecuador,6,0
2015-06-07,Norway,Thailand,4,0
2015-06-07,Germany,Ivory Coast,10,0
2015-06-06,Canada,China,1,0
2015-06-06,New Zealand,Netherlands,0,1
2014-07-13,Germany,Argentina,1,0
2014-07-12,Brazil,Netherlands,0,3
